"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"calentar";0,4457;1,925;-0,5892;-1,7216
"suegro";0,2441;-3,1678;0,5023;1,7722
"deliana07";-0,7849;-1,8113;-0,9396;4,9559
"yanibelabrego";-2,9256;-6,7514;-3,5022;18,4725
"cuerda";-0,2746;0,8041;-0,4067;-0,4018
"rescatar";9,7258;-8,7713;8,4543;-8,8034
"borromeo";-0,7849;4,1146;-0,4093;-2,0902
"olla";0,9046;-1,3426;-1,5376;1,6311
"pensamiento";-5,8349;25,1988;-7,7373;-3,4964
"cansen";-1,3557;-3,1287;-1,623;8,5603
"indigente";-0,1927;0,3309;-0,2746;0,2285
"ranoguera";-0,999;-2,3053;-1,1959;6,3075
"cortés";-0,6947;0,5332;4,4977;-4,3509
"39";0,3294;0,6787;6,1869;-10,2372
"cera";-0,2902;3,7354;-1,4521;-1,5202
"impedir";-1,7464;29,0783;-1,0016;-22,695
"cero";-29,8528;-73,7999;-19,9299;175,0831
"31";-1,6457;-3,6518;41,0058;-20,815
"deliberar";-0,4006;4,0819;-0,5523;-2,7221
"35";0,3967;0,3882;8,0682;-10,6909
"enlace";-0,2686;0,749;0,5874;-1,088
"vox";-58,4623;-134,9219;-40,7043;318,7588
"voz";20,0444;-2,7681;-0,5175;-5,9447
"lado";3,2693;5,6916;-3,08;-6,0721
"vasco";-1,6979;1,1454;-1,4886;1,0104
"año";55,8792;-53,3095;18,4916;-8,5345
"vargas";4,1027;-5,7634;4,4977;-3,543
"recorrer";4,7075;-2,0403;5,6379;-7,2885
"materno";-0,313;4,1146;-0,9396;-2,0902
"ratera";-0,8562;-1,976;-1,025;5,4065
"salvo";0,823;6,1774;-0,512;-8,5184
"prevención";1,4943;-0,6875;5,0774;-6,7686
"joder";-2,4478;-9,8803;-3,9778;21,7049
"descubrir";-2,6943;12,4193;0,5154;-8,8381
"chuchadetumadre";-1,0703;-2,47;-1,2813;6,7581
"mandar";4,3695;-18,7045;-4,0167;12,2767
"puesto";-1,5877;14,8929;-1,0334;-9,1392
"tlalpan";-0,3625;-3,1287;10,6477;-3,6104
"puesta";-0,2952;3,9941;0,262;-4,3869
"rincón";0,5593;0,5303;3,9605;-6,5372
"conceder";-1,5483;6,8662;0,2685;-4,9631
"positivo";-1,1953;-0,6012;7,1713;-2,5133
"cauce";2,8447;-0,7121;1,2868;-3,8005
"montero";-2,9024;-18,279;-3,9808;31,2609
"parcial";-4,7809;6,2453;1,3592;-4,886
"sepultura";3,3507;0,2908;-1,0484;-1,5196
"soportar";-2,2632;4,0881;-2,3365;0,2759
"jesucristo";-0,3041;3,3643;-1,2565;-1,4155
"terrorista";-6,788;26,3483;-9,7842;-3,2514
"vickydavilah";-15,6995;-36,2308;-18,7942;99,1347
"realisto";-2,0693;5,9159;0,3789;-4,2823
"considerable";-2,3547;10,5465;-0,5624;-6,2708
"ministerio";37,196;-13,0702;-1,8135;-4,2028
"inhumano";-0,2902;2,2992;-0,406;-1,5202
"erick";37,5263;-11,3623;-0,7223;-11,5223
"irritación";-0,3589;1,8795;0,4377;-2,2803
"testamento";-1,1417;4,2144;-0,3604;-2,0499
"lancre";-0,7849;5,5101;-0,9396;-2,0902
"chat";-0,1936;-3,2933;-1,7084;5,1321
"diverso";-0,7849;1,543;0,9319;-2,0902
"obligatorio";-2,8542;5,4838;1,0579;-5,1894
"granada";2,2282;0,6697;-0,7156;-2,0499
"piña";1,1939;-2,47;0,9447;-0,2597
"valenciache99";-1,0703;-2,47;-1,2813;6,7581
"bianca";237,0081;-48,2548;-25,0314;-53,4763
"industrializar";-1,5698;11,0204;-1,8792;-4,1805
"inercia";1,2873;0,4064;-0,3526;-1,088
"lana";-0,5637;-0,7385;-0,2455;1,3315
"drástico";-0,8771;4,0559;0,2436;-3,064
"ensenada";6,4397;-1,6467;-0,3526;-1,9002
"sabbat";-1,9266;13,525;-2,3063;-5,1307
"perverso";-1,4271;3,3282;-0,5523;-0,9569
